"Benchmark";"Mode";"Threads";"Samples";"Mean";"Mean Error (99.9%)";"Unit";"Param: size"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.put";"thrpt";1;35;49478.63538571428;996.1336819805188;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.removeAndPut";"thrpt";1;35;22478.550689523814;115.15704410597704;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.removeAndPut";"thrpt";1;35;20694.576879047618;136.00223896048857;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.removeAndPut";"thrpt";1;35;19701.767550952383;124.23572877046931;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.removeAndPut";"thrpt";1;35;17735.166959047616;120.02483335400379;"ops/ms";"10000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Fastutil.removeAndPut";"thrpt";1;35;16774.404457619046;248.7702404016879;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.get";"thrpt";1;35;59941.59152142858;5585.065253932183;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.get";"thrpt";1;35;53239.51110047619;793.4212585174104;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.get";"thrpt";1;35;46689.96563380952;667.265958231487;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.get";"thrpt";1;35;46797.83951047618;475.62580817386055;"ops/ms";"10000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.get";"thrpt";1;35;34462.61707000001;607.0079108315421;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.iterateKeys";"thrpt";1;35;11497.527654761905;1123.0096398380902;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.iterateKeys";"thrpt";1;35;1418.278518095238;60.98660982162071;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.iterateKeys";"thrpt";1;35;133.90825857142855;13.005304026969077;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.iterateKeys";"thrpt";1;35;8.300564285714284;0.10466651676715556;"ops/ms";"10000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.iterateKeys";"thrpt";1;35;0.7408980952380951;0.05040922722810811;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.iterateValues";"thrpt";1;35;11425.493994285713;946.1124483669096;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.iterateValues";"thrpt";1;35;1422.6189928571428;61.19277845876296;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.iterateValues";"thrpt";1;35;128.4357276190476;14.278783815882644;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.iterateValues";"thrpt";1;35;8.287817619047619;0.08104595984258994;"ops/ms";"10000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.iterateValues";"thrpt";1;35;0.7470414285714285;0.05488189541350951;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.put";"thrpt";1;35;47869.12718809524;322.96525827285893;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.put";"thrpt";1;35;45515.732735714286;1207.724223239828;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.put";"thrpt";1;35;38605.39715095238;329.08956894103716;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.put";"thrpt";1;35;33601.53046333333;534.3953429921698;"ops/ms";"10000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.put";"thrpt";1;35;12433.335933333334;896.251886643967;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.removeAndPut";"thrpt";1;35;19083.01643619048;155.65320345181925;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.removeAndPut";"thrpt";1;35;19196.05968523809;209.0566881784014;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.removeAndPut";"thrpt";1;35;18932.59017761905;114.22815759188664;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.removeAndPut";"thrpt";1;35;17067.680568095242;189.72254215328132;"ops/ms";"10000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.JavaHashMap.removeAndPut";"thrpt";1;35;10445.52794809524;227.04908857714588;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Javolution.get";"thrpt";1;35;51563.5434604762;1862.1284791786175;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Javolution.get";"thrpt";1;35;48881.30127904762;594.8711798429499;"ops/ms";"100"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Javolution.get";"thrpt";1;35;47894.95008095239;446.486232080281;"ops/ms";"1000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Javolution.get";"thrpt";1;35;46339.74066190477;256.080315101736;"ops/ms";"10000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Javolution.get";"thrpt";1;35;129.60709428571428;10.832208513451691;"ops/ms";"100000"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Javolution.iterateKeys";"thrpt";1;35;13821.255602380954;1559.8147382812535;"ops/ms";"10"
"org.neo4j.collection.primitive.benchmark.IntIntMapBenchmark.Javolution.iterateKeys";"thrpt";1;35;2355.071063809523;138.16355105226103;"ops/ms";"100"
